$\frac{P_e}{\ell}$ (m$^{-1}$),$J_0$ (m yr$^{-1}$),Speed diff (m yr$^{-1}$),Speed diff (%),Advance (km)
2.1362515307452037e-05,-915.3788808298851,3029.186178729464,66.61045853095996,-17.0
0.00030619840469815014,-200.80505330419868,511.12346381383264,84.19269559589198,-2.3
-4.6940586901789844e-05,-82.85776147153078,456.28420676932467,55.29340688018297,-3.0
-3.4462464531260534e-05,-450.93682441120603,-435.6551801479931,-12.603562311063065,-0.3
7.804847295953037e-05,-1243.2085819018976,-349.57218689130264,-8.16458487275597,-0.2
0.0001743773634556848,-85.29296198917541,-82.86460853721395,-9.947907411863646,0.2
0.00018968658544395183,-320.89333815219504,-155.39715352872526,-15.20995967914242,0.0
0.00015826593568922813,-407.6119174338639,-323.3718921692392,-14.857119514246476,-0.2
7.059760401216007e-06,-724.9595268540897,-404.01030253588686,-10.192382092916557,-0.1
7.157284580133966e-06,-54.37905368580539,416.6700524336457,68.61516888424816,-4.1
8.731892116132408e-05,-409.00431863092825,-362.5041240909236,-15.296371659265166,-0.3
5.106964637238827e-05,-143.28756523979553,1316.47661691888,53.20235795885307,-3.9
7.284869383226166e-05,-174.6025158275942,1643.6902908697366,58.41455560824568,-6.6
0.00021829712924748446,-87.79441729398201,416.6251483028175,126.47804521167659,-6.0
6.176564253266916e-05,-327.5079484537504,-431.25015688847105,-33.36208885224962,0.1
0.00028297997093870865,-8.430595378772422,-56.40742876213097,-19.687680926023972,
0.00010970530628867459,-321.6601079258286,1430.8529287612218,101.24240182569365,-4.3
9.259471070178106e-05,-342.46640387716405,56.84339354807124,4.025494118003809,-0.7
0.00011993209383281886,-66.79353629098229,70.78314562541685,24.944056386641222,-4.9
-8.47671559333247e-06,-321.5687097530716,230.57694440805497,12.420250136793257,-0.3
2.0120189631127143e-05,-35.8193570946386,201.18871722957962,34.59722316958364,-1.9
-1.7103477643720405e-05,-64.4833701159789,395.85548978976124,22.375967431865465,-1.9
9.314310685674959e-05,-198.19656841481253,1181.3313412550024,109.28005701779496,-5.5
0.00013312012601261655,-423.21671976055484,1763.7093403307083,107.93611255356876,-5.3
0.0002717351167102587,-114.67209784875001,1544.8508077481902,292.45256493511386,-5.2
0.0002006041683098182,-111.08044078422417,-3.5240476861555705,-0.6484062879440683,-0.9
0.00017731604814087026,-98.93080426415314,-19.5178499816233,-4.807709137805881,
